,group,datetime,date,time,cycle_full_gr,status,gr_status
115,2,2023-03-31 19:23:08+07:00,2023-03-31,19:25:00,58,stop,2_stop
116,2,2023-04-01 16:10:34+07:00,2023-04-01,16:10:00,59,start,2_start
117,2,2023-04-01 17:19:34+07:00,2023-04-01,17:20:00,59,stop,2_stop
118,2,2023-04-02 17:16:34+07:00,2023-04-02,17:15:00,60,start,2_start
119,2,2023-04-02 18:30:35+07:00,2023-04-02,18:30:00,60,stop,2_stop
120,2,2023-04-03 18:41:20+07:00,2023-04-03,18:40:00,61,start,2_start
121,2,2023-04-03 19:58:04+07:00,2023-04-03,20:00:00,61,stop,2_stop
122,2,2023-04-04 19:48:58+07:00,2023-04-04,19:50:00,62,start,2_start
123,2,2023-04-04 21:49:16+07:00,2023-04-04,21:50:00,62,stop,2_stop
124,2,2023-04-05 17:08:51+07:00,2023-04-05,17:10:00,63,start,2_start
125,2,2023-04-05 18:19:15+07:00,2023-04-05,18:20:00,63,stop,2_stop
126,2,2023-04-06 19:21:29+07:00,2023-04-06,19:20:00,64,start,2_start
127,2,2023-04-06 20:54:58+07:00,2023-04-06,20:55:00,64,stop,2_stop
128,2,2023-04-07 16:31:06+07:00,2023-04-07,16:30:00,65,start,2_start
129,2,2023-04-07 18:04:53+07:00,2023-04-07,18:05:00,65,stop,2_stop
130,2,2023-04-08 16:41:35+07:00,2023-04-08,16:40:00,66,start,2_start
131,2,2023-04-08 18:19:41+07:00,2023-04-08,18:20:00,66,stop,2_stop
132,2,2023-04-09 19:08:19+07:00,2023-04-09,19:10:00,67,start,2_start
133,2,2023-04-09 20:58:12+07:00,2023-04-09,21:00:00,67,stop,2_stop
134,2,2023-04-10 15:45:00+07:00,2023-04-10,15:45:00,68,start,2_start
135,2,2023-04-10 17:25:12+07:00,2023-04-10,17:25:00,68,stop,2_stop
136,2,2023-04-11 18:41:55+07:00,2023-04-11,18:40:00,69,start,2_start
137,2,2023-04-11 20:25:06+07:00,2023-04-11,20:25:00,69,stop,2_stop
138,2,2023-04-12 15:50:26+07:00,2023-04-12,15:50:00,70,start,2_start
139,2,2023-04-12 17:20:32+07:00,2023-04-12,17:20:00,70,stop,2_stop
140,2,2023-04-13 15:44:52+07:00,2023-04-13,15:45:00,71,start,2_start
141,2,2023-04-13 17:42:26+07:00,2023-04-13,17:40:00,71,stop,2_stop
142,2,2023-04-14 18:39:29+07:00,2023-04-14,18:40:00,72,start,2_start
143,2,2023-04-14 20:24:22+07:00,2023-04-14,20:25:00,72,stop,2_stop
144,2,2023-04-15 16:36:06+07:00,2023-04-15,16:35:00,73,start,2_start
145,2,2023-04-15 18:07:02+07:00,2023-04-15,18:05:00,73,stop,2_stop
146,2,2023-04-16 16:23:04+07:00,2023-04-16,16:25:00,74,start,2_start
147,2,2023-04-16 17:49:40+07:00,2023-04-16,17:50:00,74,stop,2_stop
148,2,2023-04-17 16:07:15+07:00,2023-04-17,16:05:00,75,start,2_start
149,2,2023-04-17 18:09:41+07:00,2023-04-17,18:10:00,75,stop,2_stop
150,2,2023-04-18 18:24:11+07:00,2023-04-18,18:25:00,76,start,2_start
151,2,2023-04-18 20:48:25+07:00,2023-04-18,20:50:00,76,stop,2_stop
152,2,2023-04-19 16:14:06+07:00,2023-04-19,16:15:00,77,start,2_start
153,2,2023-04-19 17:51:31+07:00,2023-04-19,17:50:00,77,stop,2_stop
154,2,2023-04-20 16:01:52+07:00,2023-04-20,16:00:00,78,start,2_start
155,2,2023-04-20 16:12:36+07:00,2023-04-20,16:15:00,78,stop,2_stop
156,2,2023-04-21 11:38:53+07:00,2023-04-21,11:40:00,79,start,2_start
157,2,2023-04-21 12:03:50+07:00,2023-04-21,12:05:00,79,stop,2_stop
158,2,2023-04-21 16:01:12+07:00,2023-04-21,16:00:00,80,start,2_start
159,2,2023-04-21 17:43:22+07:00,2023-04-21,17:45:00,80,stop,2_stop
160,2,2023-04-22 16:12:50+07:00,2023-04-22,16:15:00,81,start,2_start
161,2,2023-04-22 17:44:13+07:00,2023-04-22,17:45:00,81,stop,2_stop
162,2,2023-04-23 15:31:02+07:00,2023-04-23,15:30:00,82,start,2_start
163,2,2023-04-23 17:13:29+07:00,2023-04-23,17:15:00,82,stop,2_stop
164,2,2023-04-24 16:15:27+07:00,2023-04-24,16:15:00,83,start,2_start
165,2,2023-04-24 17:57:07+07:00,2023-04-24,17:55:00,83,stop,2_stop
166,2,2023-04-25 16:14:11+07:00,2023-04-25,16:15:00,84,start,2_start
167,2,2023-04-25 17:35:44+07:00,2023-04-25,17:35:00,84,stop,2_stop
168,2,2023-04-26 16:09:23+07:00,2023-04-26,16:10:00,85,start,2_start
169,2,2023-04-26 16:30:29+07:00,2023-04-26,16:30:00,85,stop,2_stop
170,2,2023-04-26 17:39:19+07:00,2023-04-26,17:40:00,86,start,2_start
171,2,2023-04-26 18:47:29+07:00,2023-04-26,18:45:00,86,stop,2_stop
172,2,2023-04-27 16:57:12+07:00,2023-04-27,16:55:00,87,start,2_start
173,2,2023-04-27 18:21:54+07:00,2023-04-27,18:20:00,87,stop,2_stop
174,2,2023-04-28 16:38:34+07:00,2023-04-28,16:40:00,88,start,2_start
175,2,2023-04-28 17:55:38+07:00,2023-04-28,17:55:00,88,stop,2_stop
176,2,2023-04-29 17:13:46+07:00,2023-04-29,17:15:00,89,start,2_start
177,2,2023-04-29 18:40:50+07:00,2023-04-29,18:40:00,89,stop,2_stop
178,2,2023-04-30 16:32:40+07:00,2023-04-30,16:35:00,90,start,2_start
179,2,2023-04-30 17:46:57+07:00,2023-04-30,17:45:00,90,stop,2_stop
180,2,2023-05-01 16:08:46+07:00,2023-05-01,16:10:00,91,start,2_start
181,2,2023-05-01 17:37:41+07:00,2023-05-01,17:40:00,91,stop,2_stop
182,2,2023-05-02 15:41:29+07:00,2023-05-02,15:40:00,92,start,2_start
183,2,2023-05-02 17:11:55+07:00,2023-05-02,17:10:00,92,stop,2_stop
184,2,2023-05-03 15:49:35+07:00,2023-05-03,15:50:00,93,start,2_start
185,2,2023-05-03 17:30:07+07:00,2023-05-03,17:30:00,93,stop,2_stop
186,2,2023-05-04 18:22:31+07:00,2023-05-04,18:25:00,94,start,2_start
187,2,2023-05-04 20:04:37+07:00,2023-05-04,20:05:00,94,stop,2_stop
188,2,2023-05-05 19:06:38+07:00,2023-05-05,19:05:00,95,start,2_start
189,2,2023-05-05 20:49:46+07:00,2023-05-05,20:50:00,95,stop,2_stop
190,2,2023-05-06 19:19:47+07:00,2023-05-06,19:20:00,96,start,2_start
191,2,2023-05-06 21:07:09+07:00,2023-05-06,21:05:00,96,stop,2_stop
192,2,2023-05-07 16:40:53+07:00,2023-05-07,16:40:00,97,start,2_start
193,2,2023-05-07 18:09:00+07:00,2023-05-07,18:10:00,97,stop,2_stop
194,2,2023-05-08 18:54:50+07:00,2023-05-08,18:55:00,98,start,2_start
195,2,2023-05-08 20:53:30+07:00,2023-05-08,20:55:00,98,stop,2_stop
196,2,2023-05-09 18:34:13+07:00,2023-05-09,18:35:00,99,start,2_start
197,2,2023-05-09 20:23:52+07:00,2023-05-09,20:25:00,99,stop,2_stop
198,2,2023-05-11 16:31:31+07:00,2023-05-11,16:30:00,100,start,2_start
199,2,2023-05-11 17:32:16+07:00,2023-05-11,17:30:00,100,stop,2_stop
200,2,2023-05-11 19:29:57+07:00,2023-05-11,19:30:00,101,start,2_start
201,2,2023-05-11 20:23:59+07:00,2023-05-11,20:25:00,101,stop,2_stop
202,2,2023-05-12 16:41:53+07:00,2023-05-12,16:40:00,102,start,2_start
203,2,2023-05-12 18:23:12+07:00,2023-05-12,18:25:00,102,stop,2_stop
204,2,2023-05-13 16:37:27+07:00,2023-05-13,16:35:00,103,start,2_start
205,2,2023-05-13 18:24:24+07:00,2023-05-13,18:25:00,103,stop,2_stop
206,2,2023-05-14 19:29:19+07:00,2023-05-14,19:30:00,104,start,2_start
207,2,2023-05-14 21:11:32+07:00,2023-05-14,21:10:00,104,stop,2_stop
208,2,2023-05-15 13:27:57+07:00,2023-05-15,13:30:00,105,start,2_start
209,2,2023-05-15 13:46:25+07:00,2023-05-15,13:45:00,105,stop,2_stop
210,2,2023-05-15 14:19:34+07:00,2023-05-15,14:20:00,106,start,2_start
211,2,2023-05-15 14:32:07+07:00,2023-05-15,14:30:00,106,stop,2_stop
212,2,2023-05-15 19:00:13+07:00,2023-05-15,19:00:00,107,start,2_start
213,2,2023-05-15 20:47:04+07:00,2023-05-15,20:45:00,107,stop,2_stop
214,2,2023-05-16 09:06:40+07:00,2023-05-16,09:05:00,108,start,2_start
